"resp_id","pref_twiz"
334,FALSE
335,FALSE
336,FALSE
337,FALSE
338,FALSE
339,FALSE
340,FALSE
341,FALSE
342,FALSE
343,TRUE
344,TRUE
345,TRUE
346,FALSE
347,FALSE
348,TRUE
349,TRUE
350,FALSE
351,FALSE
352,FALSE
353,FALSE
354,TRUE
355,TRUE
356,FALSE
357,FALSE
358,FALSE
359,FALSE
360,FALSE
361,FALSE
362,FALSE
363,FALSE
364,FALSE
365,FALSE
366,FALSE
367,TRUE
368,FALSE
369,FALSE
370,FALSE
371,FALSE
372,FALSE
373,FALSE
374,FALSE
375,FALSE
376,FALSE
377,TRUE
378,FALSE
379,FALSE
380,FALSE
381,FALSE
382,TRUE
383,TRUE
384,FALSE
385,FALSE
386,FALSE
387,TRUE
388,TRUE
389,FALSE
390,TRUE
391,FALSE
392,FALSE
393,FALSE
394,FALSE
395,FALSE
396,TRUE
397,FALSE
398,FALSE
399,FALSE
400,FALSE
401,FALSE
402,FALSE
403,FALSE
404,FALSE
405,TRUE
406,FALSE
407,TRUE
408,FALSE
409,FALSE
410,TRUE
411,FALSE
412,FALSE
413,FALSE
414,TRUE
415,FALSE
416,TRUE
417,FALSE
418,FALSE
419,FALSE
420,TRUE
421,FALSE
422,FALSE
423,FALSE
424,TRUE
425,FALSE
426,FALSE
427,FALSE
428,FALSE
429,TRUE
430,FALSE
431,FALSE
432,TRUE
433,FALSE
434,FALSE
435,FALSE
436,FALSE
437,FALSE
438,FALSE
439,FALSE
440,TRUE
441,TRUE
442,TRUE
443,FALSE
444,FALSE
445,FALSE
446,FALSE
447,TRUE
448,FALSE
449,TRUE
450,FALSE
451,FALSE
452,FALSE
453,FALSE
454,FALSE
455,TRUE
456,FALSE
457,FALSE
458,FALSE
459,FALSE
460,FALSE
461,FALSE
462,TRUE
463,TRUE
464,FALSE
465,FALSE
466,FALSE
467,FALSE
468,FALSE
469,FALSE
470,TRUE
471,TRUE
472,FALSE
473,FALSE
474,FALSE
475,TRUE
476,TRUE
477,TRUE
478,FALSE
479,FALSE
480,FALSE
481,FALSE
482,FALSE
483,FALSE
484,TRUE
485,FALSE
486,FALSE
487,TRUE
488,FALSE
489,FALSE
490,FALSE
491,FALSE
492,FALSE
493,FALSE
494,TRUE
495,TRUE
496,FALSE
497,FALSE
498,FALSE
499,TRUE
500,TRUE
