"student_id","teacher_id","class_type","class_size","born","female","race_ethnicity","re_white","re_black","re_asian","re_hispanic","re_native_american","re_other","reading_score","math_score","listening_score"
40,32,1,16,1979.984,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,505,520,580
41,33,3,26,1979.674,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,487,505,554
42,2,2,22,1979.485,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,507,523,571
43,34,2,22,1980.27,TRUE,"Other",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,629,601,568
44,35,2,18,1980.191,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,516,518,592
45,36,1,15,1979.008,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,536
46,37,3,25,1980.219,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,487,549,554
47,38,2,22,1979.184,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,462,479,548
48,39,1,17,1980.153,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,524,529,574
49,40,1,15,1980.883,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,540,553,554
50,41,2,22,1979.647,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,468,532,546
51,42,2,22,NA,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,571,601,592
52,43,3,25,1979.447,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,571,592,625
53,44,2,22,1979.819,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,448,490,551
54,32,1,16,1980.612,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,451,486,562
55,45,1,17,1979.83,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,558,538,543
56,7,1,15,1978.888,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,564,584,611
57,5,3,29,1980.036,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,524,562,606
58,46,1,15,1979.173,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,494,557,592
59,47,3,25,1980.639,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,579,512,592
60,48,3,24,1980.221,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,558,502,531
61,49,3,25,1980.036,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,516,507,548
62,50,2,22,1979.079,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,497,571
63,51,3,21,1979.967,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,472,507,592
64,1,3,23,1980.426,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,521,545,588
65,52,2,29,1979.167,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,451,536
66,13,1,14,1979.362,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,548,532,625
67,53,3,23,1980.098,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,651,538,571
68,54,3,24,1980.18,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,519,545,548
69,55,3,21,1979.225,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,457,465,543
70,56,2,24,1980.708,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,579,572,588
71,57,3,22,1978.041,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,501,557,543
72,12,2,24,1978.868,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,553,567,634
73,24,2,27,1979.699,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,482,495,580
74,12,2,24,1979.066,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,505,518,565
75,12,2,24,1979.036,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,494,518,574
76,58,1,18,1979.904,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,512,562,584
77,59,2,26,1979.321,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,460,481,541
78,60,1,15,1979.364,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,530,567,596
79,61,3,23,1979.433,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,549,618
80,62,2,26,1979.723,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,450,486,568
81,63,1,16,1979.627,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,604,584,634
82,64,2,22,1979.849,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,651,592,592
83,65,1,17,1979.904,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,495,526,625
84,66,3,22,1979.962,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,544,523,634
85,67,3,23,1979.666,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,507,515,541
86,68,1,17,1979.973,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,533,549,592
87,69,3,20,1979.868,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,509,526,625
88,70,2,21,1979.94,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,468,518,580
89,62,2,26,1980.738,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,520,588
90,71,2,26,1980.057,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,548,592,606
91,72,1,17,1980.003,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,510,611
92,73,2,20,1980.612,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,558,572,571
93,74,2,21,1980.227,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,540,512,551
94,75,1,15,1980.415,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,456,484,559
95,76,2,24,1980.56,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,590,510,574
96,77,1,13,1980.175,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,519,523,574
97,78,2,26,1980.325,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,536,520,568
98,79,3,22,1980.347,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,571,562,577
99,80,3,30,1980,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,535,577
100,81,2,23,1980.421,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,516,493,526
101,30,1,13,1980.437,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,590,592,592
102,82,1,13,1980.374,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,497,497,551
103,60,1,15,1980.481,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,579,627,685
104,38,2,22,1980.522,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,604,572,580
105,83,1,16,1980.648,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,459,472,574
106,61,3,23,1980.041,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,579,562,645
107,63,1,16,1980.475,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,564,545,601
108,50,2,22,1980.631,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,536,535,548
109,79,3,22,1980.098,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,487,481,529
110,84,1,14,1980.454,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,578,625
111,85,1,15,1980.522,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,490,526,519
112,86,2,21,1980.246,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,590,542,574
113,87,2,22,1980.383,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,469,505,531
114,88,2,22,1978.992,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,447,481,521
115,5,3,29,1980.74,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,462,454,571
116,89,2,25,1979.553,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,428,470,498
117,90,3,22,1979.553,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,536,567,580
118,91,3,26,1980.505,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,514,572,592
119,92,3,21,1978.929,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,495,468,543
120,93,3,23,1980.134,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,503,562,611
121,94,2,21,1980.314,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
122,95,2,22,1980.189,FALSE,"Asian",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,629,584,611
123,96,1,18,1980.038,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,521,553,559
124,97,1,14,1979.841,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,604,553,556
125,98,2,23,1979.433,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,472,512
126,16,1,18,1980.478,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,544,518,584
127,99,2,22,1980.571,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,471,500,554
128,100,2,22,1979.707,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,497,538,574
129,101,1,17,1980.68,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,431,474,504
130,102,2,17,1979.975,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,527,535,559
131,103,2,19,1979.003,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,478,535,580
132,104,1,13,1980.519,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,590,538,568
133,102,2,17,1979.844,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,516,532,580
134,105,1,17,1980.743,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,442,439,NA
135,44,2,22,1980.079,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,438,479,568
136,15,3,23,1979.515,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,480,526,584
137,106,1,17,1979.49,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,497,NA,NA
138,107,3,22,1979.123,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,434,486,548
139,23,3,25,1979.57,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,503,515,565
140,55,3,21,1979.107,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,469,474,534
141,99,2,22,1979.699,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,436,456,512
142,108,2,25,1979.57,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,480,456,529
143,109,2,23,1980.172,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,475,515,526
144,101,1,17,1979.2,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,477,490,541
145,61,3,23,1979.819,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,524,538,606
146,110,2,24,1980.355,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,548,601,645
147,110,2,24,1980.615,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,533,567,568
148,111,2,21,1980.09,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,530,612,577
149,112,1,17,1980.62,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,521,512,546
150,52,2,29,1979.512,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,477,506
151,89,2,25,1979.71,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,564,529,574
152,113,2,21,1980.079,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,499,572,574
153,34,2,22,1980.287,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,567,574
154,114,3,22,1980.123,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,463,481,506
155,115,2,22,1980.142,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,564,512,556
156,116,2,19,1979.54,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,571,529,588
157,88,2,22,1980.814,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,548,553,551
158,60,1,15,1980.333,TRUE,"Asian",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,629,578,565
159,117,2,23,1978.907,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,548,562,574
160,47,3,25,1979.499,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,536,493,548
161,76,2,24,1980.005,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,469,535,551
162,118,1,17,1980.481,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
163,119,2,25,1980.268,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,442,484,574
164,120,3,24,1979.751,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,524,562,611
165,121,2,21,1980.65,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,478,567,559
166,122,1,15,1978.912,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,487,497,529
167,123,3,22,1980.022,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,590,653,618
168,52,2,29,1979.452,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,475,529,556
169,124,2,25,1979.099,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,495,481,531
170,125,1,16,1979.395,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,490,523,596
171,126,2,21,1980.719,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,558,538,580
172,22,2,23,1980.533,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,408,461,536
173,98,2,23,1980.593,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,524,523,534
174,90,3,22,1979.967,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,497,512,548
175,43,3,25,1980.795,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,604,542,548
176,90,3,22,1978.868,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,571,592,611
177,14,3,25,1980.18,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,509,518,554
178,127,2,25,1980.158,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,579,612,601
179,128,2,20,1980.107,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,469,495,588
180,71,2,26,1979.66,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,529,618
181,44,2,22,1980.079,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,505,549,596
182,66,3,22,1979.31,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,521,505,577
183,129,1,13,1980.735,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,487,497,568
184,41,2,22,1979.995,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,536,572,588
185,52,2,29,1979.767,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,457,505,524
186,119,2,25,1980.716,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,460,490,584
187,130,2,24,1980.749,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,509,484,519
188,131,2,19,1980.749,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,488,502,568
189,132,3,19,1980.699,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,505,535,546
190,132,3,19,1979.926,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,553,562,568
191,8,2,22,1980.746,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,436,433,509
192,133,1,15,1978.54,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,433,477,521
193,97,1,14,1980.369,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,501,518,571
194,130,2,24,1979.408,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,492,488,548
195,134,2,20,1979.986,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,471,535,521
196,111,2,21,1979.258,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,519,542,606
197,22,2,23,1980.623,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,478,532,NA
198,135,3,28,1979.581,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,447,477,524
199,136,2,22,1980.639,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,474,495,538
200,22,2,23,1978.967,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,474,507,574
201,70,2,21,1980.525,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,483,507,536
202,51,3,21,1979.699,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,562,559
203,22,2,23,1979.838,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,495,479,534
204,59,2,26,1980.019,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,505,493,559
205,137,3,23,1980.104,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,527,553,565
206,138,3,22,1980.014,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,499,535,536
207,32,1,16,1980.519,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,519,545,577
208,139,2,28,1979.296,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,512,523,568
209,140,3,27,1980.025,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,553,532,584
210,141,3,23,1979.326,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,472,526,504
211,47,3,25,1979.03,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,471,470,541
212,15,3,23,1979.036,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,548,526,611
213,142,3,21,1979.901,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,604,592,660
214,143,1,14,1979.964,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,579,562,562
215,144,3,24,1979.427,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,558,542,559
216,144,3,24,1979.482,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,629,584,559
217,66,3,22,1979.515,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,553,578,588
218,47,3,25,1979.132,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,514,549,574
219,83,1,16,1979.647,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,544,542,596
220,141,3,23,1979.26,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,451,529,562
221,15,3,23,1979.737,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,521,578,568
222,46,1,15,1979.959,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,503,523,548
223,83,1,16,1979.997,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,507,474,538
224,59,2,26,1979.997,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,487,495,548
225,107,3,22,1979.479,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,551
226,119,2,25,1979.603,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,451,488,543
227,145,3,26,1980.082,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,503,523,580
228,9,3,21,1980.036,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,530,526,584
229,46,1,15,1980.123,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,533,567,577
230,46,1,15,1980.123,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,480,495,554
231,146,2,19,1980.279,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,463,456,521
232,147,2,23,1980.404,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,651,592,611
233,148,2,21,1980.467,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,519,515,580
234,103,2,19,1980.519,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,471,486,574
235,6,1,17,1980.224,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,492,490,556
236,119,2,25,1980.355,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,509,470,543
237,145,3,26,1980.101,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,431,465,531
238,47,3,25,1980.459,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,453,474,543
239,149,2,18,1980.514,TRUE,"Native American",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
240,86,2,21,1979.836,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,482,465,548
